customer_id,order_date,product_name,quantity,unit_price,total_amount,country,region,city,latitude,longitude,postal_code,customer_segment,currency_code
C0001,2023-01-15,Wireless Headphones,2,89.99,179.98,United States,California,Los Angeles,34.0522,-118.2437,90210,Premium,USD
C0002,2023-01-16,Smartphone Case,1,24.99,24.99,Canada,Ontario,Toronto,43.6532,-79.3832,M5V 3A8,Regular,CAD
C0003,2023-01-17,Coffee Maker,1,119.99,119.99,United Kingdom,England,London,51.5074,-0.1278,SW1A 1AA,Premium,GBP
C0004,2023-01-18,Running Shoes,1,79.99,79.99,Germany,Bavaria,Munich,48.1351,11.5820,80331,Regular,EUR
C0005,2023-01-19,Bluetooth Speaker,2,55.99,111.98,France,Île-de-France,Paris,48.8566,2.3522,75001,Premium,EUR
C0006,2023-02-01,Vacuum Cleaner,1,189.99,189.99,Australia,New South Wales,Sydney,-33.8688,151.2093,2000,Premium,AUD
C0007,2023-02-03,Power Bank,2,39.99,79.98,Japan,Tokyo,Tokyo,35.6762,139.6503,100-0001,Regular,JPY
C0008,2023-02-05,Casual T-Shirt,1,29.99,29.99,Brazil,São Paulo,São Paulo,-23.5505,-46.6333,01310-100,Regular,BRL
C0009,2023-02-07,Air Purifier,1,249.99,249.99,India,Maharashtra,Mumbai,19.0760,72.8777,400001,Premium,INR
C0010,2023-02-10,Denim Jeans,1,69.99,69.99,Mexico,Mexico City,Mexico City,19.4326,-99.1332,06000,Regular,MXN
C0011,2023-02-15,Smart Watch,1,299.99,299.99,Singapore,Central Region,Singapore,1.3521,103.8198,018989,Premium,SGD
C0012,2023-02-20,Gaming Mouse,1,49.99,49.99,South Korea,Seoul,Seoul,37.5665,126.9780,04524,Regular,KRW
C0013,2023-02-25,Fitness Tracker,1,129.99,129.99,Netherlands,North Holland,Amsterdam,52.3676,4.9041,1012 WX,Premium,EUR
C0014,2023-03-01,Wireless Keyboard,1,89.99,89.99,Sweden,Stockholm,Stockholm,59.3293,18.0686,111 29,Regular,SEK
C0015,2023-03-05,Tablet Stand,2,19.99,39.98,Norway,Oslo,Oslo,59.9139,10.7522,0150,Regular,NOK
C0016,2023-03-10,External Monitor,1,329.99,329.99,Switzerland,Zurich,Zurich,47.3769,8.5417,8001,Premium,CHF
C0017,2023-03-15,Portable Speaker,1,79.99,79.99,Austria,Vienna,Vienna,48.2082,16.3738,1010,Regular,EUR
C0018,2023-03-20,Laptop Bag,1,59.99,59.99,Belgium,Brussels,Brussels,50.8503,4.3517,1000,Regular,EUR
C0019,2023-03-25,Webcam,1,69.99,69.99,Denmark,Capital Region,Copenhagen,55.6761,12.5683,1050,Regular,DKK
C0020,2023-04-01,Phone Tripod,1,24.99,24.99,Finland,Uusimaa,Helsinki,60.1699,24.9384,00100,Regular,EUR
C0021,2023-04-05,Noise Cancelling Headphones,1,199.99,199.99,Spain,Madrid,Madrid,40.4168,-3.7038,28001,Premium,EUR
C0022,2023-04-10,Portable Charger,2,34.99,69.98,Italy,Lazio,Rome,41.9028,12.4964,00118,Regular,EUR
C0023,2023-04-15,Smart Home Hub,1,149.99,149.99,Portugal,Lisbon,Lisbon,38.7223,-9.1393,1000-001,Premium,EUR
C0024,2023-04-20,Wireless Earbuds,1,89.99,89.99,Poland,Mazovia,Warsaw,52.2297,21.0122,00-001,Regular,PLN
C0025,2023-04-25,USB Hub,1,29.99,29.99,Czech Republic,Prague,Prague,50.0755,14.4378,110 00,Regular,CZK
C0026,2023-05-01,Bluetooth Adapter,1,19.99,19.99,Hungary,Budapest,Budapest,47.4979,19.0402,1051,Regular,HUF
C0027,2023-05-05,Desk Organizer,1,39.99,39.99,Romania,Bucharest,Bucharest,44.4268,26.1025,010011,Regular,RON
C0028,2023-05-10,Phone Ring Holder,3,9.99,29.97,Bulgaria,Sofia,Sofia,42.6977,23.3219,1000,Regular,BGN
C0029,2023-05-15,Screen Cleaning Kit,2,14.99,29.98,Croatia,Zagreb,Zagreb,45.8150,15.9819,10000,Regular,HRK
C0030,2023-05-20,Cable Management Box,1,24.99,24.99,Slovenia,Ljubljana,Ljubljana,46.0569,14.5058,1000,Regular,EUR
C0031,2023-06-01,Laptop Cooling Pad,1,49.99,49.99,Estonia,Tallinn,Tallinn,59.4370,24.7536,10111,Regular,EUR
C0032,2023-06-05,Phone Car Holder,1,19.99,19.99,Latvia,Riga,Riga,56.9496,24.1052,LV-1050,Regular,EUR
C0033,2023-06-10,Wireless Mouse Pad,1,34.99,34.99,Lithuania,Vilnius,Vilnius,54.6872,25.2797,01103,Regular,EUR
C0034,2023-06-15,USB Extension Cable,2,12.99,25.98,Slovakia,Bratislava,Bratislava,48.1486,17.1077,811 01,Regular,EUR
C0035,2023-06-20,Phone Privacy Screen,1,29.99,29.99,Malta,Southern Region,Valletta,35.8989,14.5146,VLT 1110,Regular,EUR
C0036,2023-06-25,Portable Hard Drive,1,89.99,89.99,Cyprus,Nicosia,Nicosia,35.1856,33.3823,1016,Regular,EUR
C0037,2023-07-01,Wireless Charging Stand,1,39.99,39.99,Iceland,Reykjavik,Reykjavik,64.1466,-21.9426,101,Regular,ISK
C0038,2023-07-05,Bluetooth Car Adapter,1,24.99,24.99,Turkey,Istanbul,Istanbul,41.0082,28.9784,34000,Regular,TRY
C0039,2023-07-10,Phone Lens Kit,1,19.99,19.99,Greece,Attica,Athens,37.9838,23.7275,105 64,Regular,EUR
