customer_id,order_date,product_name,quantity,unit_price,total_amount,country,region,city
C0001,2023-01-15,Wireless Headphones,2,89.99,179.98,United States,California,Los Angeles
C0002,2023-01-16,Smartphone Case,1,19.99,19.99,Canada,Ontario,Toronto
C0003,2023-01-17,Coffee Maker,1,79.99,79.99,United Kingdom,England,London
C0004,2023-01-18,Running Shoes,1,89.99,89.99,Germany,Bavaria,Munich
C0005,2023-01-19,Bluetooth Speaker,2,45.99,91.98,France,Île-de-France,Paris
C0001,2023-01-25,USB-C Cable,3,12.99,38.97,United States,California,Los Angeles
C0006,2023-02-01,Vacuum Cleaner,1,149.99,149.99,Australia,New South Wales,Sydney
C0007,2023-02-03,Power Bank,2,34.99,69.98,Japan,Tokyo,Tokyo
C0008,2023-02-05,Casual T-Shirt,1,19.99,19.99,Brazil,São Paulo,São Paulo
C0009,2023-02-07,Air Purifier,1,199.99,199.99,India,Maharashtra,Mumbai
C0010,2023-02-10,Denim Jeans,1,59.99,59.99,Mexico,Mexico City,Mexico City
C0002,2023-02-15,Wireless Charger,1,29.99,29.99,Canada,Ontario,Toronto
C0011,2023-02-20,Kitchen Scale,2,25.99,51.98,United States,Texas,Houston
C0012,2023-02-25,LED Desk Lamp,1,39.99,39.99,United Kingdom,Scotland,Edinburgh
C0013,2023-03-01,Baseball Cap,3,24.99,74.97,Germany,North Rhine-Westphalia,Cologne
C0014,2023-03-05,Sunglasses,1,49.99,49.99,France,Auvergne-Rhône-Alpes,Lyon
C0015,2023-03-10,Screen Protector,4,9.99,39.96,Australia,Victoria,Melbourne
C0016,2023-03-12,Car Phone Mount,2,24.99,49.98,Japan,Osaka,Osaka
C0017,2023-03-15,Business Strategy Book,1,24.99,24.99,Brazil,Rio de Janeiro,Rio de Janeiro
C0018,2023-03-18,Cookbook,1,29.99,29.99,India,Karnataka,Bangalore
C0019,2023-03-20,Fiction Novel,2,14.99,29.98,Mexico,Jalisco,Guadalajara
C0020,2023-03-25,Self-Help Guide,1,19.99,19.99,United States,New York,New York City
C0003,2023-04-01,Storage Bins,3,15.99,47.97,United Kingdom,England,London
C0021,2023-04-05,Wireless Headphones,1,89.99,89.99,Canada,Quebec,Montreal
C0022,2023-04-10,Smartphone Case,2,19.99,39.98,Germany,Baden-Württemberg,Stuttgart
C0023,2023-04-15,Coffee Maker,1,79.99,79.99,France,Occitanie,Toulouse
C0024,2023-04-20,Running Shoes,1,89.99,89.99,Australia,Queensland,Brisbane
C0025,2023-04-25,Bluetooth Speaker,1,45.99,45.99,Japan,Kanagawa,Yokohama
C0026,2023-05-01,USB-C Cable,5,12.99,64.95,Brazil,Minas Gerais,Belo Horizonte
C0027,2023-05-05,Vacuum Cleaner,1,149.99,149.99,India,Tamil Nadu,Chennai
C0028,2023-05-10,Power Bank,2,34.99,69.98,Mexico,Nuevo León,Monterrey
C0029,2023-05-15,Casual T-Shirt,3,19.99,59.97,United States,Florida,Miami
C0030,2023-05-20,Air Purifier,1,199.99,199.99,United Kingdom,Wales,Cardiff
C0001,2023-05-25,Denim Jeans,1,59.99,59.99,United States,California,Los Angeles
C0031,2023-06-01,Wireless Charger,2,29.99,59.98,Canada,British Columbia,Vancouver
C0032,2023-06-05,Kitchen Scale,1,25.99,25.99,Germany,Lower Saxony,Hannover
C0033,2023-06-10,LED Desk Lamp,2,39.99,79.98,France,Nouvelle-Aquitaine,Bordeaux
C0034,2023-06-15,Baseball Cap,1,24.99,24.99,Australia,Western Australia,Perth
C0035,2023-06-20,Sunglasses,2,49.99,99.98,Japan,Aichi,Nagoya
