customer_id,order_date,product_name,quantity,unit_price,total_amount,country,region,city,time_zone,population_density,economic_indicator,climate_zone,market_maturity
C0001,2023-01-15,Wireless Headphones,2,89.99,179.98,United States,California,Los Angeles,PST,3200,High,Mediterranean,Mature
C0002,2023-01-16,Smartphone Case,1,19.99,19.99,Canada,Ontario,Toronto,EST,4300,High,Continental,Mature
C0003,2023-01-17,Coffee Maker,1,79.99,79.99,United Kingdom,England,London,GMT,5700,High,Oceanic,Mature
C0004,2023-01-18,Running Shoes,1,89.99,89.99,Germany,Bavaria,Munich,CET,4700,High,Continental,Mature
C0005,2023-01-19,Bluetooth Speaker,2,45.99,91.98,France,Île-de-France,Paris,CET,21000,High,Oceanic,Mature
C0006,2023-02-01,Vacuum Cleaner,1,149.99,149.99,Australia,New South Wales,Sydney,AEST,2100,High,Subtropical,Mature
C0007,2023-02-03,Power Bank,2,34.99,69.98,Japan,Tokyo,Tokyo,JST,6100,High,Humid_Continental,Mature
C0008,2023-02-05,Casual T-Shirt,1,19.99,19.99,Brazil,São Paulo,São Paulo,BRT,7900,Medium,Subtropical,Emerging
C0009,2023-02-07,Air Purifier,1,199.99,199.99,India,Maharashtra,Mumbai,IST,20700,Medium,Tropical,Emerging
C0010,2023-02-10,Denim Jeans,1,59.99,59.99,Mexico,Mexico City,Mexico City,CST,5900,Medium,Subtropical,Emerging
C0011,2023-02-15,Smart Watch,1,299.99,299.99,Singapore,Central Region,Singapore,SGT,8000,High,Tropical,Mature
C0012,2023-02-20,Gaming Mouse,1,49.99,49.99,South Korea,Seoul,Seoul,KST,16000,High,Continental,Mature
C0013,2023-02-25,Fitness Tracker,1,129.99,129.99,Netherlands,North Holland,Amsterdam,CET,5100,High,Oceanic,Mature
C0014,2023-03-01,Wireless Keyboard,1,89.99,89.99,Sweden,Stockholm,Stockholm,CET,5000,High,Continental,Mature
C0015,2023-03-05,Tablet Stand,2,19.99,39.98,Norway,Oslo,Oslo,CET,1400,High,Continental,Mature
C0016,2023-03-10,External Monitor,1,329.99,329.99,Switzerland,Zurich,Zurich,CET,4700,High,Continental,Mature
C0017,2023-03-15,Portable Speaker,1,79.99,79.99,Austria,Vienna,Vienna,CET,4300,High,Continental,Mature
C0018,2023-03-20,Laptop Bag,1,59.99,59.99,Belgium,Brussels,Brussels,CET,7400,High,Oceanic,Mature
C0019,2023-03-25,Webcam,1,69.99,69.99,Denmark,Capital Region,Copenhagen,CET,6800,High,Oceanic,Mature
C0020,2023-04-01,Phone Tripod,1,24.99,24.99,Finland,Uusimaa,Helsinki,EET,3100,High,Continental,Mature
C0021,2023-04-05,Noise Cancelling Headphones,1,199.99,199.99,Spain,Madrid,Madrid,CET,5300,High,Mediterranean,Mature
C0022,2023-04-10,Portable Charger,2,34.99,69.98,Italy,Lazio,Rome,CET,2200,High,Mediterranean,Mature
C0023,2023-04-15,Smart Home Hub,1,149.99,149.99,Portugal,Lisbon,Lisbon,WET,6500,High,Mediterranean,Mature
C0024,2023-04-20,Wireless Earbuds,1,89.99,89.99,Poland,Mazovia,Warsaw,CET,3500,Medium,Continental,Developing
C0025,2023-04-25,USB Hub,1,29.99,29.99,Czech Republic,Prague,Prague,CET,2600,Medium,Continental,Developing
C0026,2023-05-01,Bluetooth Adapter,1,19.99,19.99,Hungary,Budapest,Budapest,CET,3300,Medium,Continental,Developing
C0027,2023-05-05,Desk Organizer,1,39.99,39.99,Romania,Bucharest,Bucharest,EET,1900,Medium,Continental,Developing
C0028,2023-05-10,Phone Ring Holder,3,9.99,29.97,Bulgaria,Sofia,Sofia,EET,1400,Medium,Continental,Developing
C0029,2023-05-15,Screen Cleaning Kit,2,14.99,29.98,Croatia,Zagreb,Zagreb,CET,1300,Medium,Continental,Developing
C0030,2023-05-20,Cable Management Box,1,24.99,24.99,Slovenia,Ljubljana,Ljubljana,CET,100,Medium,Continental,Developing
C0031,2023-06-01,Laptop Cooling Pad,1,49.99,49.99,Estonia,Tallinn,Tallinn,EET,2900,Medium,Continental,Developing
